Feature,Importance
num__average_temp_day,900
num__age,828
num__max_temp_day,821
num__appointment_time,695
num__max_rain_day,609
num__average_rain_day,498
bin__Day,435
bin__Month,298
cat__place_ITAJAÍ,265
bin__DayOfWeek,245
cat__place_Unknown,202
cat__heat_intensity_mild,156
cat__gender_F,146
cat__specialty_psychotherapy,123
cat__specialty_Unknown,114
cat__disability_Unknown,108
cat__specialty_pedagogo,104
cat__specialty_physiotherapy,101
cat__place_B. CAMBORIU,96
cat__place_CAMBORIU,92
cat__place_NAVEGANTES,91
bin__SMS_received,90
cat__specialty_occupational therapy,88
cat__place_ITAPEMA,85
cat__place_BOMBINHAS,85
bin__patient_needs_companion,82
cat__place_BALN. PIÇARRAS,81
cat__place_PORTO BELO,79
cat__place_PENHA,79
cat__disability_intellectual,66
cat__disability_motor,66
cat__place_LUIZ ALVES,65
bin__over_60_years_old,64
cat__specialty_speech therapy,63
bin__under_12_years_old,59
cat__rain_intensity_moderate,58
cat__place_ILHOTA,58
cat__disability_ ,49
cat__rain_intensity_weak,48
cat__rain_intensity_no_rain,48
cat__gender_M,44
cat__specialty_enf,32
cat__gender_I,32
cat__heat_intensity_cold,31
cat__appointment_shift_afternoon,28
cat__heat_intensity_warm,27
bin__rainy_day_before,25
cat__specialty_sem especialidade,24
bin__Year,24
cat__rain_intensity_heavy,21
cat__heat_intensity_heavy_warm,19
cat__heat_intensity_heavy_cold,18
bin__Alcoholism,18
bin__storm_day_before,18
bin__Scholarship,16
bin__Hipertension,12
cat__place_Christopherton,10
cat__specialty_assist,9
cat__place_MONTENEGRO,7
bin__Diabetes,6
bin__Quarter,6
cat__place_West John,5
bin__Handcap,4
cat__place_Millerstad,4
cat__place_Lisamouth,4
cat__place_East Michael,3
cat__place_Lake Michael,3
cat__place_Port Gregory,3
cat__place_North Joshua,3
cat__place_East Kevin,3
cat__place_Elizabethtown,3
cat__place_West Mary,3
cat__place_North David,2
cat__place_New Jessica,2
cat__place_West Timothy,1
cat__place_Lake David,1
cat__place_Port David,1
cat__place_Jamesberg,1
cat__place_South Michael,1
cat__place_South Brian,1
cat__place_East Jessica,1
cat__place_North Samantha,1
cat__place_North Michael,1
cat__appointment_shift_morning,1
cat__place_Lake Christine,1
cat__place_Adamborough,0
cat__place_Adamburgh,0
cat__place_Adambury,0
cat__place_Adamchester,0
cat__place_Adamfort,0
cat__place_Adamfurt,0
cat__place_Adamhaven,0
cat__place_Adamland,0
cat__place_Adammouth,0
cat__place_Adamport,0
cat__place_Adamsberg,0
cat__place_Adamsborough,0
cat__place_Adamsburgh,0
cat__place_Adamsbury,0
cat__place_Adamschester,0
cat__place_Adamsfort,0
cat__place_Adamsfurt,0
cat__place_Adamshaven,0
cat__place_Adamshire,0
cat__place_Adamside,0
cat__place_Adamsmouth,0
cat__place_Adamsport,0
cat__place_Adamsshire,0
cat__place_Adamsside,0
cat__place_Adamsstad,0
cat__place_Adamstad,0
cat__place_Adamston,0
cat__place_Adamstown,0
cat__place_Adamsview,0
cat__place_Adamsville,0
cat__place_Adamton,0
cat__place_Adamtown,0
cat__place_Adamview,0
cat__place_Adkinsberg,0
cat__place_Adkinsbury,0
cat__place_Adkinsfort,0
cat__place_Adkinsland,0
cat__place_Adkinsmouth,0
cat__place_Adkinsshire,0
cat__place_Adkinston,0
cat__place_Adrianabury,0
cat__place_Adrianamouth,0
cat__place_Adrianberg,0
cat__place_Adrianmouth,0
cat__place_Adrianport,0
cat__place_Adrianside,0
cat__place_Adrianton,0
cat__place_Adrianview,0
cat__place_Adriennebury,0
cat__place_Adriennestad,0
cat__place_Aguilarborough,0
cat__place_Aguilarchester,0
cat__place_Aguilarfort,0
cat__place_Aguilarfurt,0
cat__place_Aguilarmouth,0
cat__place_Aguilarside,0
cat__place_Aguilarstad,0
cat__place_Aguilarton,0
cat__place_Aguilartown,0
cat__place_Aguilarview,0
cat__place_Aguilarville,0
cat__place_Aguirreberg,0
cat__place_Aguirrebury,0
cat__place_Aguirreport,0
cat__place_Aguirreshire,0
cat__place_Aguirretown,0
cat__place_Aimeeland,0
cat__place_Aimeeport,0
cat__place_Aimeeview,0
cat__place_Alanberg,0
cat__place_Alanchester,0
cat__place_Alanfort,0
cat__place_Alanstad,0
cat__place_Alanton,0
cat__place_Albertbury,0
cat__place_Albertshire,0
cat__place_Albertstad,0
cat__place_Albertton,0
cat__place_Albertville,0
cat__place_Alecberg,0
cat__place_Alecfort,0
cat__place_Alecside,0
cat__place_Alejandraton,0
cat__place_Alejandroberg,0
cat__place_Alejandrofort,0
cat__place_Alejandroland,0
cat__place_Alejandroside,0
cat__place_Alejandrostad,0
cat__place_Alejandroview,0
cat__place_Alexachester,0
cat__place_Alexanderberg,0
cat__place_Alexanderborough,0
cat__place_Alexanderburgh,0
cat__place_Alexanderchester,0
cat__place_Alexanderfort,0
cat__place_Alexanderfurt,0
cat__place_Alexanderhaven,0
cat__place_Alexanderland,0
cat__place_Alexandermouth,0
cat__place_Alexanderport,0
cat__place_Alexandershire,0
cat__place_Alexanderside,0
cat__place_Alexanderstad,0
cat__place_Alexanderton,0
cat__place_Alexandertown,0
cat__place_Alexanderview,0
cat__place_Alexanderville,0
cat__place_Alexandraberg,0
cat__place_Alexandraborough,0
cat__place_Alexandrachester,0
cat__place_Alexandrafort,0
cat__place_Alexandrafurt,0
cat__place_Alexandrahaven,0
cat__place_Alexandraland,0
cat__place_Alexandramouth,0
cat__place_Alexandraport,0
cat__place_Alexandrashire,0
cat__place_Alexandraton,0
